brightness_mean,brightness_std,bright_pixel_frac,nir_red_ratio,color_std,n_images,date,site,factory
1672.5977924266222,323.61376716737135,0.6669512944873286,1.2159622092409075,207.3780971158479,6.0,2022-01-01,giga_tx_north,Giga Texas
2721.202057829738,378.91128166181056,0.9987344785675799,1.1833192423566419,558.058407183705,6.0,2022-01-01,giga_tx_west,Giga Texas
2522.244256305767,361.74153340989994,1.0,1.2121656960100982,518.6618934008326,6.0,2022-01-01,giga_tx_west_small,Giga Texas
1469.8364367389504,732.2159185611024,0.4433168973013095,1.6451817473237478,448.508551330815,6.0,2022-01-01,giga_tx_east,Giga Texas
1325.0476841215761,251.70159367699537,0.2091222371860889,1.1630574903532662,121.73680025711994,3.0,2022-01-01,fremont_1,Fremont
1340.719407870268,285.5049013693444,0.29874284013985003,1.2858553736493377,116.88571073729261,3.0,2022-01-01,fremont_2,Fremont
1536.9781958304154,467.79437052117805,0.4516483308401659,1.153514289430377,142.36018432095153,3.0,2022-01-01,fremont_3,Fremont
969.8237766871677,171.7612446111387,0.0,2.030848150221859,167.92739029497739,3.0,2022-01-01,fremont_4,Fremont
1459.204413000461,325.39944427786287,0.4159551110026837,1.2036251718303217,139.79828344918602,3.0,2022-01-01,fremont_5,Fremont
1375.900470999866,157.87073203047154,0.16100121114251115,1.093892440098214,152.16557834335177,3.0,2022-01-01,fremont_6,Fremont
1030.4272364980989,156.5805916483129,0.0,1.2501171323720401,78.71649314404351,3.0,2022-01-01,fremont_7,Fremont
1435.450641983827,242.13993009846146,0.5192135219041049,1.3966407617275345,75.0978631649216,3.0,2022-01-01,fremont_8,Fremont
937.3411854422276,370.6069656515979,0.04117978665761807,1.1472146606656088,108.20150047155508,3.0,2022-01-01,berlin_1,Giga Berlin
2384.7692040607135,1703.9221389485124,0.5548592969809201,1.0604955541615542,139.34203451921374,3.0,2022-01-01,berlin_2,Giga Berlin
1436.624620048438,1031.1391194032756,0.2202296776710392,1.1305694731162437,167.59711433744752,3.0,2022-01-01,berlin_3,Giga Berlin
750.6235173083517,146.06429743450852,0.0,1.9773883197036948,104.42397543257853,3.0,2022-01-01,berlin_4,Giga Berlin
1593.7213322859038,336.01035514612767,0.5711455700525995,1.2372551844715771,192.79849289881525,6.0,2022-02-01,giga_tx_north,Giga Texas
2120.6455763134522,453.3286102948189,0.9132278314475806,1.2367310527798396,520.0848689723234,6.0,2022-02-01,giga_tx_west,Giga Texas
2454.4189910770738,433.39480757713415,1.0,1.238201749197465,538.47279757372,6.0,2022-02-01,giga_tx_west_small,Giga Texas
1238.1515372697347,554.0489607852955,0.2741742219394518,1.5627076828481574,382.14455321263756,6.0,2022-02-01,giga_tx_east,Giga Texas
1477.8337327365384,247.5051838232839,0.42053196545987487,1.158399889423393,122.2333689391368,5.0,2022-02-01,fremont_1,Fremont
1403.0612338515703,240.43967405606998,0.3002120062486055,1.3029497448232121,127.58926062703237,5.0,2022-02-01,fremont_2,Fremont
1413.7330164801526,415.8632731646627,0.2687981670485315,1.1520936815747957,121.90741757739858,5.0,2022-02-01,fremont_3,Fremont
1712.1157565591936,1125.632815031784,0.25731502764490277,1.161868580259796,148.92200619693935,5.0,2022-02-01,fremont_4,Fremont
1428.1785801414987,240.61994346637366,0.37533544767016364,1.1724290960393842,132.73566524078498,5.0,2022-02-01,fremont_5,Fremont
1228.9070649979817,157.38329928017347,0.02236576503835285,1.1041920834687209,127.93575515589828,5.0,2022-02-01,fremont_6,Fremont
911.5058407387345,96.78613078588896,0.0,1.2277022074427573,93.1548635355844,5.0,2022-02-01,fremont_7,Fremont
1297.9165880955127,205.40081419905383,0.11437277222030585,1.3892533614046294,76.68877457019417,5.0,2022-02-01,fremont_8,Fremont
,,,,,,2022-02-01,berlin_1,Giga Berlin
,,,,,,2022-02-01,berlin_2,Giga Berlin
,,,,,,2022-02-01,berlin_3,Giga Berlin
,,,,,,2022-02-01,berlin_4,Giga Berlin
1819.7975499237211,309.17960380732677,0.9283762552086893,1.2044156285243264,265.4782346623815,7.0,2022-03-01,giga_tx_north,Giga Texas
1202.1924152246836,386.6584184087915,0.16864514027240057,1.1759911487731938,176.2374741980084,7.0,2022-03-01,giga_tx_west,Giga Texas
2450.399119417315,386.76642269055014,1.0,1.2531992208905496,667.9439326134908,7.0,2022-03-01,giga_tx_west_small,Giga Texas
1410.8109149391146,624.0922894245132,0.40754643620875525,1.6869050654001654,421.8188963067333,7.0,2022-03-01,giga_tx_east,Giga Texas
1485.100606696772,249.61900394386308,0.43702962845599314,1.206110416861246,115.78095415557426,2.0,2022-03-01,fremont_1,Fremont
1384.1829421756065,212.30810678867581,0.28096407051997346,1.3538619669094836,125.40127352851785,2.0,2022-03-01,fremont_2,Fremont
1453.7871324155951,467.1017320765565,0.33841434549620353,1.174940169829346,116.5794099991561,2.0,2022-03-01,fremont_3,Fremont
1430.5968399908882,497.6460630749109,0.21879853388830217,1.1949136757518708,139.4614158637573,2.0,2022-03-01,fremont_4,Fremont
1400.291683608469,204.28166545991115,0.32568919248597233,1.1905420325261542,130.0995424663384,2.0,2022-03-01,fremont_5,Fremont
1304.2636118961116,189.0066750965704,0.06419055308841341,1.1173819136895706,123.70603861869294,2.0,2022-03-01,fremont_6,Fremont
948.3405013607221,97.01227139030578,0.0,1.218028841519474,92.67833751756145,2.0,2022-03-01,fremont_7,Fremont
1417.21991299682,211.33538338217835,0.42031735081062443,1.3402923852435602,75.18578105162406,2.0,2022-03-01,fremont_8,Fremont
1351.513547350744,419.96809214837253,0.3456524237730649,1.160220056989927,159.51575091475627,6.0,2022-03-01,berlin_1,Giga Berlin
2868.7309612777385,1386.5236018991195,0.9873516087430971,1.103574237507942,219.7180659175168,6.0,2022-03-01,berlin_2,Giga Berlin
1904.8332215828727,724.2654972127398,0.8464914419466522,1.1641808721281817,246.14649971878205,6.0,2022-03-01,berlin_3,Giga Berlin
920.7495483686242,162.15360978272227,0.0024517894858292976,1.848781331156734,164.42895012151055,6.0,2022-03-01,berlin_4,Giga Berlin
1774.5184666530054,187.5505258753841,0.9447708176788033,1.2244776677268778,242.47052392086567,4.0,2022-04-01,giga_tx_north,Giga Texas
1144.640480396948,223.14512076228186,0.06914007192171318,1.1999745253410279,126.3390870088202,4.0,2022-04-01,giga_tx_west,Giga Texas
3769.2204969671425,253.58432051842362,1.0,1.1512745717259791,499.2711437875312,4.0,2022-04-01,giga_tx_west_small,Giga Texas
1478.5947769942711,664.8705186788612,0.4547903080430518,1.948258774950108,428.5449504873576,4.0,2022-04-01,giga_tx_east,Giga Texas
1533.1285121075293,275.74517751589366,0.5209934247009427,1.2224894337336267,156.35342156467505,3.0,2022-04-01,fremont_1,Fremont
1411.2050571549012,231.22338872074664,0.3040429963549805,1.4153885102987214,164.39449422366027,3.0,2022-04-01,fremont_2,Fremont
1462.3641476207606,488.78617301160057,0.29619776182992175,1.2209966690224259,149.58162204560216,3.0,2022-04-01,fremont_3,Fremont
1705.9013894928657,317.9904810539787,0.6444679132757655,1.1911901132066904,153.18842415203264,3.0,2022-04-01,fremont_4,Fremont
1442.5117101732128,243.53423676336612,0.40314710905098805,1.197497505533563,176.42723094481752,3.0,2022-04-01,fremont_5,Fremont
1434.883703404656,268.410245831945,0.188292289059346,1.1036800799467614,127.59217480214588,3.0,2022-04-01,fremont_6,Fremont
1049.5080941204792,127.7728753000911,0.003380072616396863,1.2197793371156012,117.24692249035714,3.0,2022-04-01,fremont_7,Fremont
1581.342934345177,194.68997374135324,0.7411291249856273,1.2197664238557318,98.56082154267455,3.0,2022-04-01,fremont_8,Fremont
1258.534482963083,352.54061504805344,0.2017776707477944,1.160446825135862,119.81192814410483,2.0,2022-04-01,berlin_1,Giga Berlin
2028.181547126968,985.2025997361199,0.529413709864092,1.053772469700731,80.37075109691136,2.0,2022-04-01,berlin_2,Giga Berlin
2185.2499207587643,901.0066687002505,0.9638538060174575,1.129474130711664,218.88981165688213,2.0,2022-04-01,berlin_3,Giga Berlin
1935.7787422907497,1920.2623620369566,0.2243884147338126,1.8459039048827928,220.06294534759274,2.0,2022-04-01,berlin_4,Giga Berlin
1865.6468451852345,247.8240065383823,0.9144067217706128,1.2111811757787467,190.87009926982614,7.0,2022-05-01,giga_tx_north,Giga Texas
1456.2057019467316,351.6703734325523,0.4432156774298646,1.1726635466644877,155.5284710929859,7.0,2022-05-01,giga_tx_west,Giga Texas
3588.277898779831,229.04439942912836,1.0,1.162161268796249,487.51041359032655,7.0,2022-05-01,giga_tx_west_small,Giga Texas
1503.1360149397053,726.4210469834202,0.46688581376031657,2.4426150906970916,423.0290829724551,7.0,2022-05-01,giga_tx_east,Giga Texas
1684.5681923208956,249.04038811195161,0.7798166046106315,1.1851408471516351,139.315997373122,3.0,2022-05-01,fremont_1,Fremont
1620.0578429913962,220.77375706194874,0.6754072751617946,1.2983303493782643,155.35390678901746,3.0,2022-05-01,fremont_2,Fremont
1615.0403640655659,530.3694582871104,0.5817064626687622,1.1953045102696551,126.77728313398563,3.0,2022-05-01,fremont_3,Fremont
1728.1504214035733,293.5006998717881,0.806858420823756,1.1664255111029274,166.9249099156881,3.0,2022-05-01,fremont_4,Fremont
1691.2932964679742,208.7990056446767,0.794949987801903,1.1469062631896205,141.64691502041103,3.0,2022-05-01,fremont_5,Fremont
3226.9093796258926,1076.3851235688705,0.9164311667339524,1.017826674155443,134.29532590341935,3.0,2022-05-01,fremont_6,Fremont
1179.9897126771111,149.99070797668804,0.008043971033680368,1.1529815729474315,105.63997614576337,3.0,2022-05-01,fremont_7,Fremont
1717.4133532635776,147.5838082911635,0.9191445325974474,1.1164753221572823,99.88523888383209,3.0,2022-05-01,fremont_8,Fremont
,,,,,,2022-05-01,berlin_1,Giga Berlin
,,,,,,2022-05-01,berlin_2,Giga Berlin
,,,,,,2022-05-01,berlin_3,Giga Berlin
,,,,,,2022-05-01,berlin_4,Giga Berlin
2007.627604344559,226.8493891392328,0.9545050891454334,1.1451601460515595,192.10768184782884,7.0,2022-06-01,giga_tx_north,Giga Texas
1541.2096605645945,331.98011114686335,0.4946184014334227,1.1240812241034643,183.56582479267647,7.0,2022-06-01,giga_tx_west,Giga Texas
4094.6343474086066,316.08942947287807,1.0,1.0901644103101165,545.4984964058775,7.0,2022-06-01,giga_tx_west_small,Giga Texas
1693.5239748098677,801.4390736477873,0.5108848947563754,2.069628932587775,476.2404603047551,7.0,2022-06-01,giga_tx_east,Giga Texas
1648.4574189970679,267.375169246261,0.7094787293036521,1.1656095226883347,145.04337764685928,3.0,2022-06-01,fremont_1,Fremont
1607.1120471620932,229.51774896403592,0.6344565945101541,1.2721464741832649,173.41786790696096,3.0,2022-06-01,fremont_2,Fremont
1516.3266869907136,553.206679240237,0.44860919126697096,1.1875946480557067,131.7186861928212,3.0,2022-06-01,fremont_3,Fremont
1532.7315441800747,250.12850666168785,0.5246319189911163,1.1757102494090654,182.46593338592308,3.0,2022-06-01,fremont_4,Fremont
1639.82272098886,166.14302259403468,0.7570139058306906,1.1436621514434517,158.13835193725566,3.0,2022-06-01,fremont_5,Fremont
3129.0444354730184,1024.335755554929,0.900928542591845,1.03061564995322,138.5407332363706,3.0,2022-06-01,fremont_6,Fremont
1213.5179468148426,187.47767609599686,0.07160337806663859,1.1418542687228035,114.35096155285186,3.0,2022-06-01,fremont_7,Fremont
1728.014955348588,181.85929763512868,0.8925606530987698,1.104072303124439,108.61895907812928,3.0,2022-06-01,fremont_8,Fremont
1512.031329075257,328.32934307039557,0.5637372681447791,1.1895006772435497,216.4815029338167,3.0,2022-06-01,berlin_1,Giga Berlin
3463.7591680169335,1824.641999836509,1.0,1.0754094166849082,249.54455991045495,3.0,2022-06-01,berlin_2,Giga Berlin
2319.7492726061005,750.2630970779065,0.9844565270395474,1.1193436680027116,252.12373033193688,3.0,2022-06-01,berlin_3,Giga Berlin
979.6831337181387,184.19499585687717,0.010505837822939134,1.9690700198504445,149.1490633630151,3.0,2022-06-01,berlin_4,Giga Berlin
